username,text,timestamp,cleaning_text,case_folding,hasil_normalisasi,provider,tokenize,stopward removal
mouvinoun,MIN KOK AKUN GUA KELUAR SENDIRI SIH UDAH GITU MAU MASUK LAGI MALAH KATANYA XL LAGI RAME GIMNA SIH NI SERVER XL,12/31/25 11:05 PM,MIN KOK AKUN GUA KELUAR SENDIRI SIH UDAH GITU MAU MASUK LAGI MALAH KATANYA XL LAGI RAME GIMNA SIH NI SERVER XL,min kok akun gua keluar sendiri sih udah gitu mau masuk lagi malah katanya xl lagi rame gimna sih ni server xl,min kok akun gua keluar sendiri sih sudah begitu mau masuk lagi malah katanya xl lagi rame bagaimana sih nih server xl,XL,"['min', 'kok', 'akun', 'gua', 'keluar', 'sendiri', 'sih', 'sudah', 'begitu', 'mau', 'masuk', 'lagi', 'malah', 'katanya', 'xl', 'lagi', 'rame', 'bagaimana', 'sih', 'nih', 'server', 'xl']",akun masuk xl rame server xl
pencintapisangkeju,Halo XL kenapa saya g bisaa login,12/31/25 11:05 PM,Halo XL kenapa saya g bisaa login,halo xl kenapa saya g bisaa login,halo xl kenapa saya tidak bisa login,XL,"['halo', 'xl', 'kenapa', 'saya', 'tidak', 'bisa', 'login']",halo xl login
mulyadi26_,Min saya beli paketan dari semalam belum masuk2 ini kacau,12/31/25 11:05 PM,Min saya beli paketan dari semalam belum masuk2 ini kacau,min saya beli paketan dari semalam belum masuk2 ini kacau,min saya beli paketan dari semalam belum masuk2 ini kacau,XL,"['min', 'saya', 'beli', 'paketan', 'dari', 'semalam', 'belum', 'masuk2', 'ini', 'kacau']",beli paketan semalam masuk2 kacau
littleciciii,"min tolong bgt kenapa ya pas saya buka myxl tbÂ² ke logout? jaringan juga ps smlm tibaÂ² ilang, mohon bantuan nya minðŸ™",12/31/25 11:05 PM,min tolong bgt kenapa ya pas saya buka myxl tb ke logout jaringan juga ps smlm tiba ilang mohon bantuan nya min,min tolong bgt kenapa ya pas saya buka myxl tb ke logout jaringan juga ps smlm tiba ilang mohon bantuan nya min,min tolong banget kenapa ya pas saya buka myxl tb ke logout jaringan juga pas smlm tiba hilang mohon bantuan ya min,XL,"['min', 'tolong', 'banget', 'kenapa', 'ya', 'pas', 'saya', 'buka', 'myxl', 'tb', 'ke', 'logout', 'jaringan', 'juga', 'pas', 'smlm', 'tiba', 'hilang', 'mohon', 'bantuan', 'ya', 'min']",tolong banget pas buka myxl tb logout jaringan pas smlm hilang mohon bantuan
ofc.team.hunting.pekalongan,maaf min ini bonus kuota saya kok gak bisa di ambil malah kode eror tolong di benerin,12/31/25 11:05 PM,maaf min ini bonus kuota saya kok gak bisa di ambil malah kode eror tolong di benerin,maaf min ini bonus kuota saya kok gak bisa di ambil malah kode eror tolong di benerin,maaf min ini bonus kuota saya kok tidak bisa di ambil malah kode eror tolong di benerin,XL,"['maaf', 'min', 'ini', 'bonus', 'kuota', 'saya', 'kok', 'tidak', 'bisa', 'di', 'ambil', 'malah', 'kode', 'eror', 'tolong', 'di', 'benerin']",maaf bonus kuota ambil kode eror tolong benerin
dodenataraj_,"provider paling bermasalah kuota mahal internet lambat, buka aplikasi sendiri lama banget...",12/31/25 11:05 PM,provider paling bermasalah kuota mahal internet lambat buka aplikasi sendiri lama banget,provider paling bermasalah kuota mahal internet lambat buka aplikasi sendiri lama banget,provider paling bermasalah kuota mahal internet lambat buka aplikasi sendiri lama banget,XL,"['provider', 'paling', 'bermasalah', 'kuota', 'mahal', 'internet', 'lambat', 'buka', 'aplikasi', 'sendiri', 'lama', 'banget']",provider bermasalah kuota mahal internet lambat buka aplikasi banget
primerahmat,Ini ga bisa nge dm yaaaa?,12/31/25 11:05 PM,Ini ga bisa nge dm ya,ini ga bisa nge dm ya,ini tidak bisa nge dm ya,XL,"['ini', 'tidak', 'bisa', 'nge', 'dm', 'ya']",nge
zf220822,Min reaktivasi kartu XL yang udah kadarluarsa bisa ga?,12/31/25 11:05 PM,Min reaktivasi kartu XL yang udah kadarluarsa bisa ga,min reaktivasi kartu xl yang udah kadarluarsa bisa ga,min reaktivasi kartu xl yang sudah kadarluarsa bisa tidak,XL,"['min', 'reaktivasi', 'kartu', 'xl', 'yang', 'sudah', 'kadarluarsa', 'bisa', 'tidak']",reaktivasi kartu xl kadarluarsa
dicky_ca802,Min kenapa esim saya tidak ada layanan?,12/31/25 11:05 PM,Min kenapa esim saya tidak ada layanan,min kenapa esim saya tidak ada layanan,min kenapa esim saya tidak ada layanan,XL,"['min', 'kenapa', 'esim', 'saya', 'tidak', 'ada', 'layanan']",esim layanan
bertumbuhka,Kak untuk kartu yang hilang jika ganti baru apakah pulsa sebelumnya hangus?,12/31/25 11:05 PM,Kak untuk kartu yang hilang jika ganti baru apakah pulsa sebelumnya hangus,kak untuk kartu yang hilang jika ganti baru apakah pulsa sebelumnya hangus,kak untuk kartu yang hilang jika ganti baru apakah pulsa sebelumnya hangus,XL,"['kak', 'untuk', 'kartu', 'yang', 'hilang', 'jika', 'ganti', 'baru', 'apakah', 'pulsa', 'sebelumnya', 'hangus']",kartu hilang ganti pulsa hangus
