username,text,timestamp,cleaning_text,case_folding,hasil_normalisasi,provider,tokenize,stopward removal
biznethome,Jangan biarkan fokus kamu buyar karena koneksi yang gak stabil dan bikin mood kamu jadi ngga stabil ketika puasa ðŸ˜µâ€ðŸ’« Sudah waktunya kamu ganti koneksi kamu supaya hidup kamu lebih tenang dan lebih senang #PakeBiznet ðŸ˜‰ðŸ’™#Biznet #biznethome #ramadhan2026,3/18/26 11:41 PM,Jangan biarkan fokus kamu buyar karena koneksi yang gak stabil dan bikin mood kamu jadi ngga stabil ketika puasa keBiznet,jangan biarkan fokus kamu buyar karena koneksi yang gak stabil dan bikin mood kamu jadi ngga stabil ketika puasa kebiznet,jangan biarkan fokus kamu buyar karena koneksi yang tidak stabil dan bikin mood kamu jadi tidak stabil ketika puasa kebiznet,Biznet,"['jangan', 'biarkan', 'fokus', 'kamu', 'buyar', 'karena', 'koneksi', 'yang', 'tidak', 'stabil', 'dan', 'bikin', 'mood', 'kamu', 'jadi', 'tidak', 'stabil', 'ketika', 'puasa', 'kebiznet']",biarkan fokus buyar koneksi stabil bikin mood stabil puasa kebiznet
excmavuro,Biaya pasang berapa min di sidoarjo jatim,3/18/26 11:41 PM,Biaya pasang berapa min di sidoarjo jatim,biaya pasang berapa min di sidoarjo jatim,biaya pasang berapa min di sidoarjo jatim,Biznet,"['biaya', 'pasang', 'berapa', 'min', 'di', 'sidoarjo', 'jatim']",biaya pasang sidoarjo jatim
adhawidyann_,Cek dm min aku udh dm,3/18/26 11:41 PM,Cek dm min aku udh dm,cek dm min aku udh dm,cek dm min aku sudah dm,Biznet,"['cek', 'dm', 'min', 'aku', 'sudah', 'dm']",
nabilzarn,Ada WhatsApp gak ya saya mau daftar tanpa web bisa kan,3/18/26 11:41 PM,Ada WhatsApp gak ya saya mau daftar tanpa web bisa kan,ada whatsapp gak ya saya mau daftar tanpa web bisa kan,ada whatsapp tidak ya saya mau daftar tanpa web bisa kan,Biznet,"['ada', 'whatsapp', 'tidak', 'ya', 'saya', 'mau', 'daftar', 'tanpa', 'web', 'bisa', 'kan']",whatsapp daftar web
shellamareta90,Lapor kmn ya? Yg cpt tanggap responny,3/18/26 11:41 PM,Lapor kmn ya Yg cpt tanggap responny,lapor kmn ya yg cpt tanggap responny,lapor kemana ya yang cepat tanggap responny,Biznet,"['lapor', 'kemana', 'ya', 'yang', 'cepat', 'tanggap', 'responny']",lapor kemana cepat tanggap responny
kuahkuning_ikan,Min apakah suda bisa untuk indonesia timur wilaya papua,3/18/26 11:41 PM,Min apakah suda bisa untuk indonesia timur wilaya papua,min apakah suda bisa untuk indonesia timur wilaya papua,min apakah sudah bisa untuk indonesia timur wilaya papua,Biznet,"['min', 'apakah', 'sudah', 'bisa', 'untuk', 'indonesia', 'timur', 'wilaya', 'papua']",indonesia timur wilaya papua
faridvzh_,"ka saya ingin lihat coverage area di wilayah saya gimana ya, cuma ada dari AI tapi itu akurat/tidak ya?, dan ID billing itu didapat darimana ya terimakasih",3/18/26 11:41 PM,ka saya ingin lihat coverage area di wilayah saya gimana ya cuma ada dari AI tapi itu akurat tidak ya dan ID billing itu didapat darimana ya terimakasih,ka saya ingin lihat coverage area di wilayah saya gimana ya cuma ada dari ai tapi itu akurat tidak ya dan id billing itu didapat darimana ya terimakasih,kak saya ingin lihat coverage area di wilayah saya bagaimana ya cuma ada dari ai tapi itu akurat tidak ya dan id billing itu didapat darimana ya terimakasih,Biznet,"['kak', 'saya', 'ingin', 'lihat', 'coverage', 'area', 'di', 'wilayah', 'saya', 'bagaimana', 'ya', 'cuma', 'ada', 'dari', 'ai', 'tapi', 'itu', 'akurat', 'tidak', 'ya', 'dan', 'id', 'billing', 'itu', 'didapat', 'darimana', 'ya', 'terimakasih']",lihat coverage area wilayah ai akurat id billing darimana terimakasih
sontra_aw,Biznet saya bermasalah â€¦sdh email dan chat wa namun tidak ada response sampai saat ini â€¦mhn bantuannyaðŸ™,3/18/26 11:41 PM,Biznet saya bermasalah sdh email dan chat wa namun tidak ada response sampai saat ini mhn bantuannya,biznet saya bermasalah sdh email dan chat wa namun tidak ada response sampai saat ini mhn bantuannya,biznet saya bermasalah sudah email dan chat wa namun tidak ada response sampai saat ini mhn bantuannya,Biznet,"['biznet', 'saya', 'bermasalah', 'sudah', 'email', 'dan', 'chat', 'wa', 'namun', 'tidak', 'ada', 'response', 'sampai', 'saat', 'ini', 'mhn', 'bantuannya']",biznet bermasalah email chat wa response mhn bantuannya
shellamareta90,Min biznet wilyh mjk eror dr td pagi gk bs di akses,3/18/26 11:41 PM,Min biznet wilyh mjk eror dr td pagi gk bs di akses,min biznet wilyh mjk eror dr td pagi gk bs di akses,min biznet wilyh mjk eror dari tadi pagi tidak bisa di akses,Biznet,"['min', 'biznet', 'wilyh', 'mjk', 'eror', 'dari', 'tadi', 'pagi', 'tidak', 'bisa', 'di', 'akses']",biznet wilyh mjk eror pagi akses
fikriefadillah,"Biznet makin sini makin ga karuan jaringannya,, masa di cek speedtest kecepatan 12,11 mbps/37ms",3/18/26 11:41 PM,Biznet makin sini makin ga karuan jaringannya masa di cek speedtest kecepatan 12 11 mbps 37ms,biznet makin sini makin ga karuan jaringannya masa di cek speedtest kecepatan 12 11 mbps 37ms,biznet makin sini makin tidak karuan jaringannya masa di cek speedtest kecepatan 12 11 mbps 37ms,Biznet,"['biznet', 'makin', 'sini', 'makin', 'tidak', 'karuan', 'jaringannya', 'masa', 'di', 'cek', 'speedtest', 'kecepatan', '12', '11', 'mbps', '37ms']",biznet karuan jaringannya speedtest kecepatan 12 11 mbps 37ms
mizanaqaid,ticket 17279112 kapan di tindaklanjuti kak ? wifi gangguan dari siang,3/18/26 11:41 PM,ticket 17279112 kapan di tindaklanjuti kak wifi gangguan dari siang,ticket 17279112 kapan di tindaklanjuti kak wifi gangguan dari siang,ticket 17279112 kapan di tindaklanjuti kak wifi gangguan dari siang,Biznet,"['ticket', '17279112', 'kapan', 'di', 'tindaklanjuti', 'kak', 'wifi', 'gangguan', 'dari', 'siang']",ticket 17279112 tindaklanjuti wifi gangguan siang
agishall,"HALOO INI SLOW RESPON BANGET YA ADMIN WA NYA. INTERNET SAYA LOS DARI MALAM, SAYA MAU KERJA JADI TERHAMBAT",3/18/26 11:41 PM,HALOO INI SLOW RESPON BANGET YA ADMIN WA NYA INTERNET SAYA LOS DARI MALAM SAYA MAU KERJA JADI TERHAMBAT,haloo ini slow respon banget ya admin wa nya internet saya los dari malam saya mau kerja jadi terhambat,haloo ini slow respon banget ya admin wa ya internet saya los dari malam saya mau kerja jadi terhambat,Biznet,"['haloo', 'ini', 'slow', 'respon', 'banget', 'ya', 'admin', 'wa', 'ya', 'internet', 'saya', 'los', 'dari', 'malam', 'saya', 'mau', 'kerja', 'jadi', 'terhambat']",haloo slow respon banget admin wa internet los malam kerja terhambat
christin.lius,"KALAU ADA GANGGUAN, SEKARANG SDH DIKENAKAN BIAYA KEDATANGAN TEKNISI YA? DIMINTA 220RIBU PER 2 JAM??",3/18/26 11:41 PM,KALAU ADA GANGGUAN SEKARANG SDH DIKENAKAN BIAYA KEDATANGAN TEKNISI YA DIMINTA 220RIBU PER 2 JAM,kalau ada gangguan sekarang sdh dikenakan biaya kedatangan teknisi ya diminta 220ribu per 2 jam,kalau ada gangguan sekarang sudah dikenakan biaya kedatangan teknisi ya diminta 220ribu per 2 jam,Biznet,"['kalau', 'ada', 'gangguan', 'sekarang', 'sudah', 'dikenakan', 'biaya', 'kedatangan', 'teknisi', 'ya', 'diminta', '220ribu', 'per', '2', 'jam']",gangguan dikenakan biaya kedatangan teknisi 220ribu 2 jam
hiddenmemey,"min ini kan banyak yg menngalami kendala termasuk saya mengenai error wifi nya dan udah dibuat laporan tpi dri kalian tidak gercep dalam menghadapi masalah itu, so saya mohon dari tim teknisi juga tolong on time krna udh mau 3 hri error terus dan gk mungkin kan tiap hari pake data terus yang ada boros biaya. Tolong respect yaaa min, saya udah nanya lewat cs di wa gak dikasi kepastian kapan datang ke lokasi utk cek langsung hrsnya dri kalian kasih info yang jelas dan tolong cek dm ya serta masalah ini cepet diselesaikan, thxðŸ™ðŸ»",3/18/26 11:41 PM,min ini kan banyak yg menngalami kendala termasuk saya mengenai error wifi nya dan udah dibuat laporan tpi dri kalian tidak gercep dalam menghadapi masalah itu so saya mohon dari tim teknisi juga tolong on time krna udh mau 3 hri error terus dan gk mungkin kan tiap hari pake data terus yang ada boros biaya Tolong respect ya min saya udah nanya lewat cs di wa gak dikasi kepastian kapan datang ke lokasi utk cek langsung hrsnya dri kalian kasih info yang jelas dan tolong cek dm ya serta masalah ini cepet diselesaikan thx,min ini kan banyak yg menngalami kendala termasuk saya mengenai error wifi nya dan udah dibuat laporan tpi dri kalian tidak gercep dalam menghadapi masalah itu so saya mohon dari tim teknisi juga tolong on time krna udh mau 3 hri error terus dan gk mungkin kan tiap hari pake data terus yang ada boros biaya tolong respect ya min saya udah nanya lewat cs di wa gak dikasi kepastian kapan datang ke lokasi utk cek langsung hrsnya dri kalian kasih info yang jelas dan tolong cek dm ya serta masalah ini cepet diselesaikan thx,min ini kan banyak yang menngalami kendala termasuk saya mengenai error wifi ya dan sudah dibuat laporan tapi dari kalian tidak gercep dalam menghadapi masalah itu sok saya mohon dari tim teknisi juga tolong on time karena sudah mau 3 hari error terus dan tidak mungkin kan tiap hari pakai data terus yang ada boros biaya tolong respect ya min saya sudah bertanya lewat cs di wa tidak dikasi kepastian kapan datang ke lokasi untuk cek langsung harusnya dari kalian kasih info yang jelas dan tolong cek dm ya serta masalah ini cepat diselesaikan thx,Biznet,"['min', 'ini', 'kan', 'banyak', 'yang', 'menngalami', 'kendala', 'termasuk', 'saya', 'mengenai', 'error', 'wifi', 'ya', 'dan', 'sudah', 'dibuat', 'laporan', 'tapi', 'dari', 'kalian', 'tidak', 'gercep', 'dalam', 'menghadapi', 'masalah', 'itu', 'sok', 'saya', 'mohon', 'dari', 'tim', 'teknisi', 'juga', 'tolong', 'on', 'time', 'karena', 'sudah', 'mau', '3', 'hari', 'error', 'terus', 'dan', 'tidak', 'mungkin', 'kan', 'tiap', 'hari', 'pakai', 'data', 'terus', 'yang', 'ada', 'boros', 'biaya', 'tolong', 'respect', 'ya', 'min', 'saya', 'sudah', 'bertanya', 'lewat', 'cs', 'di', 'wa', 'tidak', 'dikasi', 'kepastian', 'kapan', 'datang', 'ke', 'lokasi', 'untuk', 'cek', 'langsung', 'harusnya', 'dari', 'kalian', 'kasih', 'info', 'yang', 'jelas', 'dan', 'tolong', 'cek', 'dm', 'ya', 'serta', 'masalah', 'ini', 'cepat', 'diselesaikan', 'thx']",menngalami kendala error wifi laporan gercep menghadapi sok mohon tim teknisi tolong on time 3 error pakai data boros biaya tolong respect cs wa dikasi kepastian lokasi langsung kasih info tolong cepat diselesaikan thx
msbnghd,"internet di rumah 2 hari ga bisa di gunain, sudah komplain di suruh nunggu 1x24 jam, seharian nunggu dan ngajuin complain di suruh nunggu lagi 1-2x24 jam, emang berat banget masalhnya atau gimana ya ?",3/18/26 11:41 PM,internet di rumah 2 hari ga bisa di gunain sudah komplain di suruh nunggu 1x24 jam seharian nunggu dan ngajuin complain di suruh nunggu lagi 1 2x24 jam emang berat banget masalhnya atau gimana ya,internet di rumah 2 hari ga bisa di gunain sudah komplain di suruh nunggu 1x24 jam seharian nunggu dan ngajuin complain di suruh nunggu lagi 1 2x24 jam emang berat banget masalhnya atau gimana ya,internet di rumah 2 hari tidak bisa di gunain sudah komplain di suruh menunggu 1x24 jam seharian menunggu dan mengajukan complain di suruh menunggu lagi 1 2x24 jam memang berat banget masalhnya atau bagaimana ya,Biznet,"['internet', 'di', 'rumah', '2', 'hari', 'tidak', 'bisa', 'di', 'gunain', 'sudah', 'komplain', 'di', 'suruh', 'menunggu', '1x24', 'jam', 'seharian', 'menunggu', 'dan', 'mengajukan', 'complain', 'di', 'suruh', 'menunggu', 'lagi', '1', '2x24', 'jam', 'memang', 'berat', 'banget', 'masalhnya', 'atau', 'bagaimana', 'ya']",internet rumah 2 gunain komplain suruh menunggu 1x24 jam seharian menunggu mengajukan complain suruh menunggu 1 2x24 jam berat banget masalhnya
yudhaknight,"Komplain internet tapi slow respons sekali, apa apaan ini. Mana sering pula gangguannya",3/18/26 11:41 PM,Komplain internet tapi slow respons sekali apa apaan ini Mana sering pula gangguannya,komplain internet tapi slow respons sekali apa apaan ini mana sering pula gangguannya,komplain internet tapi slow respons sekali apa apaan ini mana sering pula gangguannya,Biznet,"['komplain', 'internet', 'tapi', 'slow', 'respons', 'sekali', 'apa', 'apaan', 'ini', 'mana', 'sering', 'pula', 'gangguannya']",komplain internet slow respons gangguannya
byu.idSudah Diverifikasi|byu.id,"by.U emang nyata kebaikannya nih! Beli kartu by.U selama Ramadan dapat gratis ongkir ke seluruh Indonesia! Jadi buruan deh ajakin keluarga dan teman-teman untuk pake by.U sekarang dan share postingan ini buat bagi-bagi kebaikannya. Info lengkap, cek www.byu.id yaa!#AnehTapiNyataBaiknya #RamadanSepenuhHati #SemuanyaSemaunya",2/25/26 11:41 PM,by U emang nyata kebaikannya nih Beli kartu by U selama Ramadan dapat gratis ongkir ke seluruh Indonesia Jadi buruan deh ajakin keluarga dan teman teman untuk pake by U sekarang dan share postingan ini buat bagi bagi kebaikannya Info lengkap cek w byu id yaa,by u emang nyata kebaikannya nih beli kartu by u selama ramadan dapat gratis ongkir ke seluruh indonesia jadi buruan deh ajakin keluarga dan teman teman untuk pake by u sekarang dan share postingan ini buat bagi bagi kebaikannya info lengkap cek w byu id yaa,by lu memang nyata kebaikannya nih beli kartu by lu selama ramadan dapat gratis ongkir ke seluruh indonesia jadi buruan deh mengajak keluarga dan teman teman untuk pakai by lu sekarang dan share postingan ini buat bagi bagi kebaikannya info lengkap cek gue byu id ya,ByU,"['by', 'lu', 'memang', 'nyata', 'kebaikannya', 'nih', 'beli', 'kartu', 'by', 'lu', 'selama', 'ramadan', 'dapat', 'gratis', 'ongkir', 'ke', 'seluruh', 'indonesia', 'jadi', 'buruan', 'deh', 'mengajak', 'keluarga', 'dan', 'teman', 'teman', 'untuk', 'pakai', 'by', 'lu', 'sekarang', 'dan', 'share', 'postingan', 'ini', 'buat', 'bagi', 'bagi', 'kebaikannya', 'info', 'lengkap', 'cek', 'gue', 'byu', 'id', 'ya']",by lu nyata kebaikannya beli kartu by lu ramadan gratis ongkir indonesia buruan mengajak keluarga teman teman pakai by lu share postingan kebaikannya info lengkap byu id
chn.adityaa|chn.adityaa|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Sinyal nomer 1 datanya dari mana itu, sinyal nya jelek giniðŸ˜¢",2/25/26 11:41 PM,Sinyal nomer 1 datanya dari mana itu sinyal nya jelek gini,sinyal nomer 1 datanya dari mana itu sinyal nya jelek gini,sinyal nomer 1 datanya dari mana itu sinyal ya jelek begini,ByU,"['sinyal', 'nomer', '1', 'datanya', 'dari', 'mana', 'itu', 'sinyal', 'ya', 'jelek', 'begini']",sinyal nomer 1 datanya sinyal jelek
aisy.aaaaa_|aisy.aaaaa_|Opsi Komentar|Opsi Komentar|Opsi Komentar,Sinyall area mks jelek bgt min :(,2/25/26 11:41 PM,Sinyall area mks jelek bgt min,sinyall area mks jelek bgt min,sinyall area mks jelek banget min,ByU,"['sinyall', 'area', 'mks', 'jelek', 'banget', 'min']",sinyall area mks jelek banget
per_mie_an|per_mie_an|Opsi Komentar|Opsi Komentar|Opsi Komentar,"@byu.id harus nya kalo masa waktu udah abis ,trus isi ulangnya sblm waktunya, harusnya kuota nya jangan hangus dong..harusnya terakumulasi, rugi dong 8 gb gw ilang sia2",2/25/26 11:41 PM,id harus nya kalo masa waktu udah abis trus isi ulangnya sblm waktunya harusnya kuota nya jangan hangus dong harusnya terakumulasi rugi dong 8 gb gw ilang sia2,id harus nya kalo masa waktu udah abis trus isi ulangnya sblm waktunya harusnya kuota nya jangan hangus dong harusnya terakumulasi rugi dong 8 gb gw ilang sia2,id harus ya kalau masa waktu sudah habis terus isi ulangnya sebelum waktunya harusnya kuota ya jangan hangus dong harusnya terakumulasi rugi dong 8 gb gue hilang sia2,ByU,"['id', 'harus', 'ya', 'kalau', 'masa', 'waktu', 'sudah', 'habis', 'terus', 'isi', 'ulangnya', 'sebelum', 'waktunya', 'harusnya', 'kuota', 'ya', 'jangan', 'hangus', 'dong', 'harusnya', 'terakumulasi', 'rugi', 'dong', '8', 'gb', 'gue', 'hilang', 'sia2']",id habis isi ulangnya kuota hangus terakumulasi rugi 8 gb hilang sia2
reina.dye|reina.dye|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Kak, ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya? Sinyal full, aplikasi sudah diupdate, kuota masih banyak, tapi stuck di tampilan awal",2/25/26 11:41 PM,Kak ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya Sinyal full aplikasi sudah diupdate kuota masih banyak tapi stuck di tampilan awal,kak ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya sinyal full aplikasi sudah diupdate kuota masih banyak tapi stuck di tampilan awal,kak ini kenapa aplikasi tidak dapat dibuka sejak sahur tadi ya sinyal full aplikasi sudah diupdate kuota masih banyak tapi stuck di tampilan awal,ByU,"['kak', 'ini', 'kenapa', 'aplikasi', 'tidak', 'dapat', 'dibuka', 'sejak', 'sahur', 'tadi', 'ya', 'sinyal', 'full', 'aplikasi', 'sudah', 'diupdate', 'kuota', 'masih', 'banyak', 'tapi', 'stuck', 'di', 'tampilan', 'awal']",aplikasi dibuka sahur sinyal full aplikasi diupdate kuota stuck tampilan
revinaramadhani_|revinaramadhani_|Opsi Komentar|Opsi Komentar|Opsi Komentar,Kenapa susah banget buat masuk ke aplikasi by.u ya?,2/25/26 11:41 PM,Kenapa susah banget buat masuk ke aplikasi by u ya,kenapa susah banget buat masuk ke aplikasi by u ya,kenapa susah banget buat masuk ke aplikasi by lu ya,ByU,"['kenapa', 'susah', 'banget', 'buat', 'masuk', 'ke', 'aplikasi', 'by', 'lu', 'ya']",susah banget masuk aplikasi by lu
nova_caex|nova_caex|Opsi Komentar|Opsi Komentar|Opsi Komentar,Jaringan di lokasi saya buruk sekali 3 hari ini ðŸ˜¢,2/25/26 11:41 PM,Jaringan di lokasi saya buruk sekali 3 hari ini,jaringan di lokasi saya buruk sekali 3 hari ini,jaringan di lokasi saya buruk sekali 3 hari ini,ByU,"['jaringan', 'di', 'lokasi', 'saya', 'buruk', 'sekali', '3', 'hari', 'ini']",jaringan lokasi buruk 3
nova_caex|nova_caex|Opsi Komentar|Opsi Komentar|Opsi Komentar,Jaringan di lokasi saya buruk sekali 3 hari ini ðŸ˜¢,2/25/26 11:41 PM,Jaringan di lokasi saya buruk sekali 3 hari ini,jaringan di lokasi saya buruk sekali 3 hari ini,jaringan di lokasi saya buruk sekali 3 hari ini,ByU,"['jaringan', 'di', 'lokasi', 'saya', 'buruk', 'sekali', '3', 'hari', 'ini']",jaringan lokasi buruk 3
sy.lviei|sy.lviei|Opsi Komentar|Opsi Komentar|Opsi Komentar,"kartuku hilang min, itu updatenya kapan selesai ya di apknyaa ðŸ˜¢",2/25/26 11:41 PM,kartuku hilang min itu updatenya kapan selesai ya di apknyaa,kartuku hilang min itu updatenya kapan selesai ya di apknyaa,kartuku hilang min itu updatenya kapan selesai ya di apknyaa,ByU,"['kartuku', 'hilang', 'min', 'itu', 'updatenya', 'kapan', 'selesai', 'ya', 'di', 'apknyaa']",kartuku hilang updatenya selesai apknyaa
nikkoxmt|nikkoxmt|Opsi Komentar|Opsi Komentar|Opsi Komentar,"sinyal per hari i i jelek kenapa ya, padahal ga ada cuaca ekstrem. sleman jogja",2/25/26 11:41 PM,sinyal per hari i i jelek kenapa ya padahal ga ada cuaca ekstrem sleman jogja,sinyal per hari i i jelek kenapa ya padahal ga ada cuaca ekstrem sleman jogja,sinyal per hari i i jelek kenapa ya padahal tidak ada cuaca ekstrem sleman jogja,ByU,"['sinyal', 'per', 'hari', 'i', 'i', 'jelek', 'kenapa', 'ya', 'padahal', 'tidak', 'ada', 'cuaca', 'ekstrem', 'sleman', 'jogja']",sinyal i i jelek cuaca ekstrem sleman jogja
_fiq.al|_fiq.al|Opsi Komentar|Opsi Komentar|Opsi Komentar,gabisa konek ke netflix jaringan nya,2/25/26 11:41 PM,gabisa konek ke netflix jaringan nya,gabisa konek ke netflix jaringan nya,tidak bisa konek ke netflix jaringan ya,ByU,"['tidak', 'bisa', 'konek', 'ke', 'netflix', 'jaringan', 'ya']",konek netflix jaringan
idnuryana|idnuryana|Opsi Komentar|Opsi Komentar|Opsi Komentar,Kalo mau buat SIM-card yang ilang tanpa ke GraPARI bisa ngga ya?,2/25/26 11:41 PM,Kalo mau buat SIM card yang ilang tanpa ke GraPARI bisa ngga ya,kalo mau buat sim card yang ilang tanpa ke grapari bisa ngga ya,kalau mau buat sim card yang hilang tanpa ke grapari bisa tidak ya,ByU,"['kalau', 'mau', 'buat', 'sim', 'card', 'yang', 'hilang', 'tanpa', 'ke', 'grapari', 'bisa', 'tidak', 'ya']",sim card hilang grapari
sanditaufikh|sanditaufikh|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Kalo kuota masih sisa, tolong lah akumulasikan ke bulan berikutnya",2/25/26 11:41 PM,Kalo kuota masih sisa tolong lah akumulasikan ke bulan berikutnya,kalo kuota masih sisa tolong lah akumulasikan ke bulan berikutnya,kalau kuota masih sisa tolong lah akumulasikan ke bulan berikutnya,ByU,"['kalau', 'kuota', 'masih', 'sisa', 'tolong', 'lah', 'akumulasikan', 'ke', 'bulan', 'berikutnya']",kuota sisa tolong akumulasikan
sutasaputra23|sutasaputra23|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Kecewa pakek by u , udah fitur gift hadiah ilang , sinyal ilang2an ,apk ngbug mulu",2/25/26 11:41 PM,Kecewa pakek by u udah fitur gift hadiah ilang sinyal ilang2an apk ngbug mulu,kecewa pakek by u udah fitur gift hadiah ilang sinyal ilang2an apk ngbug mulu,kecewa pakai by lu sudah fitur gift hadiah hilang sinyal ilang2an apk ngbug mulu,ByU,"['kecewa', 'pakai', 'by', 'lu', 'sudah', 'fitur', 'gift', 'hadiah', 'hilang', 'sinyal', 'ilang2an', 'apk', 'ngbug', 'mulu']",kecewa pakai by lu fitur gift hadiah hilang sinyal ilang2an apk ngbug mulu
dias.gram|dias.gram|Opsi Komentar|Opsi Komentar|Opsi Komentar,Sinyal daerah Surakarta 2 hari kemarin udh jelek bget nih,2/25/26 11:41 PM,Sinyal daerah Surakarta 2 hari kemarin udh jelek bget nih,sinyal daerah surakarta 2 hari kemarin udh jelek bget nih,sinyal daerah surakarta 2 hari kemarin sudah jelek banget nih,ByU,"['sinyal', 'daerah', 'surakarta', '2', 'hari', 'kemarin', 'sudah', 'jelek', 'banget', 'nih']",sinyal daerah surakarta 2 kemarin jelek banget
bagusadisatyaSudah Diverifikasi|bagusadisatya|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Hai, @byu.id. Tolong ya stop spam reminder sisa kuota. Gila sekali tiap jam dapet notif SMS yang ngingetin kuota sisa sekian. Notifnya cukup sekali aja ya. Nggak usah tiap jam bahkan sampe dua kali dalam satu jam. Malah jadi spam notif yang sama muncul terus-terusan.",2/25/26 11:41 PM,Hai id Tolong ya stop spam reminder sisa kuota Gila sekali tiap jam dapet notif SMS yang ngingetin kuota sisa sekian Notifnya cukup sekali aja ya Nggak usah tiap jam bahkan sampe dua kali dalam satu jam Malah jadi spam notif yang sama muncul terus terusan,hai id tolong ya stop spam reminder sisa kuota gila sekali tiap jam dapet notif sms yang ngingetin kuota sisa sekian notifnya cukup sekali aja ya nggak usah tiap jam bahkan sampe dua kali dalam satu jam malah jadi spam notif yang sama muncul terus terusan,hai id tolong ya stop spam reminder sisa kuota gila sekali tiap jam dapat notif sms yang mengingatkan kuota sisa sekian notifnya cukup sekali saja ya tidak usah tiap jam bahkan sampai dua kali dalam satu jam malah jadi spam notif yang sama muncul terus terusan,ByU,"['hai', 'id', 'tolong', 'ya', 'stop', 'spam', 'reminder', 'sisa', 'kuota', 'gila', 'sekali', 'tiap', 'jam', 'dapat', 'notif', 'sms', 'yang', 'mengingatkan', 'kuota', 'sisa', 'sekian', 'notifnya', 'cukup', 'sekali', 'saja', 'ya', 'tidak', 'usah', 'tiap', 'jam', 'bahkan', 'sampai', 'dua', 'kali', 'dalam', 'satu', 'jam', 'malah', 'jadi', 'spam', 'notif', 'yang', 'sama', 'muncul', 'terus', 'terusan']",hai id tolong stop spam reminder sisa kuota gila jam notif sms kuota sisa sekian notifnya jam kali jam spam notif muncul terusan
rizky_chocofairy|rizky_chocofairy|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Apk g bisa dibuka, jaringan bagus dh beberapa kli kek gini",2/25/26 11:41 PM,Apk g bisa dibuka jaringan bagus dh beberapa kli kek gini,apk g bisa dibuka jaringan bagus dh beberapa kli kek gini,apk tidak bisa dibuka jaringan bagus dah beberapa kali kayak begini,ByU,"['apk', 'tidak', 'bisa', 'dibuka', 'jaringan', 'bagus', 'dah', 'beberapa', 'kali', 'kayak', 'begini']",apk dibuka jaringan bagus dah kali kayak
renssrens|renssrens|Opsi Komentar|Opsi Komentar|Opsi Komentar,Tobat gue pake kartu byuðŸ˜¢ðŸ˜¢,2/25/26 11:41 PM,Tobat gue pake kartu byu,tobat gue pake kartu byu,tobat gue pakai kartu byu,ByU,"['tobat', 'gue', 'pakai', 'kartu', 'byu']",tobat pakai kartu byu
se3nzzz_|se3nzzz_|Opsi Komentar|Opsi Komentar|Opsi Komentar,"sinyal benerin dong, udh bbrp minggu ini ngelag parah.",2/25/26 11:41 PM,sinyal benerin dong udh bbrp minggu ini ngelag parah,sinyal benerin dong udh bbrp minggu ini ngelag parah,sinyal benerin dong sudah beberapa minggu ini ngelag parah,ByU,"['sinyal', 'benerin', 'dong', 'sudah', 'beberapa', 'minggu', 'ini', 'ngelag', 'parah']",sinyal benerin minggu ngelag parah
piip.c|piip.c|Opsi Komentar|Opsi Komentar|Opsi Komentar,"jaringan macam apa ini, udah refresh device berkali kali tetep sama aja",2/25/26 11:41 PM,jaringan macam apa ini udah refresh device berkali kali tetep sama aja,jaringan macam apa ini udah refresh device berkali kali tetep sama aja,jaringan macam apa ini sudah refresh device berkali kali tetap sama saja,ByU,"['jaringan', 'macam', 'apa', 'ini', 'sudah', 'refresh', 'device', 'berkali', 'kali', 'tetap', 'sama', 'saja']",jaringan refresh device berkali kali
shintph|shintph|Opsi Komentar|Opsi Komentar|Opsi Komentar,Chat CS di aplikasi benerÂ² slowrespon,2/25/26 11:41 PM,Chat CS di aplikasi bener slowrespon,chat cs di aplikasi bener slowrespon,chat cs di aplikasi benar slowrespon,ByU,"['chat', 'cs', 'di', 'aplikasi', 'benar', 'slowrespon']",chat cs aplikasi slowrespon
nunikr.196|nunikr.196|Opsi Komentar|Opsi Komentar|Opsi Komentar,"Terhitung sudah 3 kali ganti kartu sim by.u, terakhir baru sebulan ganti ini errosr lagi..",2/25/26 11:41 PM,Terhitung sudah 3 kali ganti kartu sim by u terakhir baru sebulan ganti ini errosr lagi,terhitung sudah 3 kali ganti kartu sim by u terakhir baru sebulan ganti ini errosr lagi,terhitung sudah 3 kali ganti kartu sim by lu terakhir baru sebulan ganti ini errosr lagi,ByU,"['terhitung', 'sudah', '3', 'kali', 'ganti', 'kartu', 'sim', 'by', 'lu', 'terakhir', 'baru', 'sebulan', 'ganti', 'ini', 'errosr', 'lagi']",terhitung 3 kali ganti kartu sim by lu sebulan ganti errosr
